ACCT_NUMBER,CITY,ENDUSE,CSCHJAN_2018,CSCHFEB_2018,CSCHMAR_2018,CSCHAPR_2018,CSCHMAY_2018,CSCHJUN_2018,CSCHJUL_2018,CSCHAUG_2018,CSCHSEP_2018,CSCHOCT_2018,CSCHNOV_2018,CSCHDEC_2018,KWH_JAN_2018,KWH_FEB_2018,KWH_MAR_2018,KWH_APR_2018,KWH_MAY_2018,KWH_JUN_2018,KWH_JUL_2018,KWH_AUG_2018,KWH_SEP_2018,KWH_OCT_2018,KWH_NOV_2018,KWH_DEC_2018,SOLAR_Boolean,BEDROOMS,GARAGE,HEAT_AIR_COND,TOTAL_AREA,TOTAL_ROOMS,DECADE_BUILT,rtsched_jan,rtsched_feb,rtsched_mar,rtsched_apr,rtsched_may,rtsched_jun,rtsched_jul,rtsched_aug,rtsched_sep,rtsched_oct,rtsched_nov,rtsched_dec,thrm_jan,thrm_feb,thrm_mar,thrm_apr,thrm_may,thrm_jun,thrm_jul,thrm_aug,thrm_sep,thrm_oct,thrm_nov,thrm_dec,Advanced_Vehicle_Fuel,total_therms,months_above
151293,MOUNTAIN VIEW,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,234,221,205,180,167,170,167,195,197,223,248,229,0,1,1,H,750,4,1970,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,0.0,0.0,0.0,0.0,99.0,465.0,443.0,130.0,60.0,90.0,0.0,0.0,ELECTRIC,1287.0,0
151630,MOUNTAIN VIEW,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,1308,1280,1323,1241,1216,1283,1215,1345,1235,1288,1494,1276,0,1,1,H,750,4,1970,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,0.0,0.0,0.0,0.0,99.0,465.0,443.0,130.0,60.0,90.0,0.0,0.0,ELECTRIC,1287.0,0
151825,LOS GATOS,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,829,709,859,798,731,752,671,716,689,640,575,584,0,2,1,H,1000,5,1960,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,367.0,384.0,449.0,422.0,382.0,295.0,249.0,269.0,269.0,275.0,330.0,348.0,,4039.0,0
151832,MOUNTAIN VIEW,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,139,128,123,109,105,105,93,108,107,117,156,156,0,1,1,H,750,4,1970,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,615.0,719.0,681.0,616.0,630.0,583.0,528.0,547.0,540.0,595.0,576.0,585.0,ELECTRIC,7215.0,0
152452,MOUNTAIN VIEW,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,95,312,276,215,119,104,117,245,319,379,189,172,0,1,1,H,750,4,1970,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,930.0,897.0,927.0,857.0,785.0,736.0,721.0,666.0,733.0,694.0,749.0,869.0,PHEV,9564.0,0
153094,MONTE SERENO,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,1896,1594,1679,1457,1167,1529,1938,1810,1412,1273,1579,1454,0,4,1,H,3000,8,1970,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,171.0,177.0,182.0,113.0,68.0,105.0,362.0,307.0,77.0,34.0,107.0,201.0,,1904.0,0
153127,MONTE SERENO,BASIC ELECTRICITY,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,2475,1914,2509,1251,-87,585,1539,1573,1122,1017,1430,2038,1,3,1,B,5000,8,1950,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,256.0,223.0,297.0,155.0,50.0,173.0,248.0,51.0,56.0,107.0,127.0,334.0,,2077.0,0
153752,MOUNTAIN VIEW,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,95,312,276,215,119,104,117,245,319,379,189,172,0,1,1,H,750,4,1970,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,970.0,1001.0,975.0,995.0,925.0,878.0,880.0,835.0,893.0,830.0,875.0,966.0,PHEV,11023.0,0
154256,LOS ALTOS HILLS,BASIC ELECTRICITY,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,E6,1862,2466,1698,1561,1635,1421,1787,2022,1638,1402,1684,2185,1,3,1,H,4250,8,1990,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,87.0,128.0,167.0,107.0,63.0,208.0,221.0,221.0,439.0,549.0,558.0,127.0,ELECTRIC,2875.0,0
155105,SUNNYVALE,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,1747,1784,1849,1643,1456,1164,1079,1240,1389,1310,1554,1583,0,4,1,H,2250,8,1960,G1,,G1,G1,G1,G1,G1,G1,,G1,G1,G1,390.0,,179.0,156.0,97.0,168.0,218.0,363.0,,248.0,260.0,157.0,,2236.0,0
155141,LOS GATOS,ALL ELEC./SPACE HEAT 1985 ONLY,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,ETOUA,697,120,-339,-1015,-1507,-1609,-1261,-1034,-475,-133,373,672,1,3,1,H,2250,7,1950,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,242.0,180.0,192.0,119.0,243.0,358.0,243.0,155.0,327.0,474.0,217.0,137.0,,2887.0,0
155735,UNINCORPORATED,BASIC ELECTRICITY,ETOUB,ETOUB,ETOUB,ETOUB,ETOUB,ETOUB,ETOUB,ETOUB,ETOUB,ETOUB,ETOUB,ETOUB,1188,1254,1098,1187,1579,1891,2262,2282,1471,1285,1355,1479,0,3,1,H,2000,8,1940,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,183.0,132.0,148.0,85.0,71.0,246.0,206.0,104.0,223.0,247.0,30.0,108.0,,1783.0,0
155755,LOS ALTOS HILLS,ALL ELEC./SPACE HEAT 1985 ONLY,EVA,EVA,EVA,EVA,EVA,EVA,EVA,EVA,EVA,EVA,EVA,EVA,1177,1140,910,564,454,1210,1095,1038,997,1458,1465,1920,1,3,0,H,1250,8,1930,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,160.0,140.0,173.0,131.0,74.0,176.0,231.0,227.0,233.0,65.0,81.0,154.0,ELECTRIC,1845.0,0
155951,MOUNTAIN VIEW,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,289,269,248,219,202,194,190,218,225,266,313,298,0,1,1,H,750,4,1970,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,743.0,791.0,782.0,770.0,702.0,661.0,679.0,630.0,713.0,674.0,696.0,784.0,ELECTRIC,8625.0,0
156060,GILROY,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,1007,1022,1160,1168,1306,1639,2490,2126,1442,1173,1304,1372,0,5,1,H,3000,8,2000,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,113.0,72.0,86.0,59.0,43.0,31.0,355.0,246.0,138.0,19.0,23.0,56.0,,1241.0,0
156175,MOUNTAIN VIEW,BASIC ELECTRICITY,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,E1,455,370,369,347,321,356,353,390,381,426,533,512,0,2,1,H,1000,5,1960,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,GM,795.0,766.0,798.0,786.0,722.0,815.0,658.0,597.0,606.0,605.0,718.0,802.0,,8668.0,0
